"","97.bam","105.bam","113.bam","93.bam","101.bam","109.bam"
"Cluster_1",2923,4807,775,1869,1659,1346
"Cluster_2",10,9,1,5,6,6
"Cluster_3",25,25,17,16,16,6
"Cluster_4",8,26,12,5,4,4
"Cluster_5",7,11,4,5,4,2
"Cluster_6",14,12,6,7,15,7
"Cluster_7",14,6,17,0,0,1
"Cluster_8",27,2,3,79,43,35
"Cluster_9",4232,23002,1247,21749,30362,13938
"Cluster_10",1246,2739,72,2293,2359,1607
"Cluster_11",4,15,1,4,7,2
"Cluster_12",0,14,4,4,6,0
"Cluster_13",6,13,3,0,1,2
"Cluster_14",8,61,1,21,46,17
"Cluster_15",15,88,17,12,84,14
"Cluster_16",6,25,1,3,14,3
"Cluster_17",19,77,4,11,47,6
"Cluster_18",21,84,9,5,29,9
"Cluster_19",0,13,0,0,4,2
"Cluster_20",32,237,30,177,360,110
"Cluster_21",18,109,2,133,1084,139
"Cluster_22",9,20,2,10,17,6
"Cluster_23",1,29,13,6,24,9
"Cluster_24",20,29,13,14,14,11
"Cluster_25",28,19,4,29,29,28
"Cluster_26",7,16,4,8,22,6
"Cluster_27",12,28,4,23,28,14
"Cluster_28",9,19,7,8,15,10
"Cluster_29",109,181,28,129,158,78
"Cluster_30",65,281,29,166,322,114
"Cluster_31",6,9,2,9,7,4
"Cluster_32",3,10,5,1,12,1
"Cluster_33",21,17,8,8,12,16
"Cluster_34",135,689,24,405,411,301
"Cluster_35",157,1146,36,335,459,227
"Cluster_36",6,30,15,19,20,19
"Cluster_37",17,34,2,26,31,13
"Cluster_38",7,13,6,5,11,3
"Cluster_39",407,92,349,115,813,386
"Cluster_40",19,85,8,85,145,64
"Cluster_41",0,15,1,2,5,4
"Cluster_42",165,589,71,331,565,215
"Cluster_43",34,34,20,3,20,13
"Cluster_44",3,16,0,24,26,26
"Cluster_45",35,50,20,10,18,15
"Cluster_46",5,8,3,7,1,0
"Cluster_47",4,20,6,3,7,3
"Cluster_48",71,135,48,63,76,48
"Cluster_49",15,76,7,27,50,27
"Cluster_50",37,169,8,71,108,52
"Cluster_51",1,14,0,8,18,12
"Cluster_52",9,33,0,19,38,21
"Cluster_53",12,41,0,39,43,24
"Cluster_54",2,12,0,20,26,13
"Cluster_55",2,26,1,10,5,10
"Cluster_56",252,611,177,358,437,239
"Cluster_57",33,93,24,34,125,58
"Cluster_58",5,29,2,30,23,13
"Cluster_59",8,28,0,34,24,21
"Cluster_60",13,28,4,26,28,32
"Cluster_61",32,198,14,69,113,39
"Cluster_62",4,20,4,20,34,14
"Cluster_63",4511,27632,1539,8602,25862,5089
"Cluster_64",12,13,1,4,4,4
"Cluster_65",9,13,4,1,3,0
"Cluster_66",10,17,4,4,5,8
