"","97.bam","105.bam","113.bam","91.bam","99.bam","107.bam"
"Cluster_1",2923,4807,774,5181,556,6256
"Cluster_2",12,16,1,10,38,10
"Cluster_3",3,2,1,12,5,9
"Cluster_4",30,28,17,44,26,59
"Cluster_5",15,38,18,43,18,36
"Cluster_6",32,19,23,38,15,40
"Cluster_7",7,10,1,10,6,18
"Cluster_8",0,1,0,2,4,17
"Cluster_9",27,2,3,12,1,11
"Cluster_10",5479,25745,1319,17931,14816,18298
"Cluster_11",0,3,1,4,9,11
"Cluster_12",1,8,0,14,14,19
"Cluster_13",5,5,2,13,14,9
"Cluster_14",1,11,3,11,14,18
"Cluster_15",4,29,5,26,37,32
"Cluster_16",8,63,1,19,61,43
"Cluster_17",4,8,1,7,14,7
"Cluster_18",1,9,1,9,24,5
"Cluster_19",41,192,22,101,284,135
"Cluster_20",21,84,9,54,95,51
"Cluster_21",52,351,34,396,984,418
"Cluster_22",5,6,3,12,16,8
"Cluster_23",9,22,2,19,14,25
"Cluster_24",25,65,28,78,71,89
"Cluster_25",2,1,5,11,2,9
"Cluster_26",27,13,3,14,6,29
"Cluster_27",11,24,4,24,34,24
"Cluster_28",11,29,1,22,21,22
"Cluster_29",8,17,7,27,11,33
"Cluster_30",117,202,34,292,289,303
"Cluster_31",20,53,5,33,70,47
"Cluster_32",45,232,25,191,371,246
"Cluster_33",5,7,0,9,22,9
"Cluster_34",10,23,7,24,31,25
"Cluster_35",21,14,7,17,5,19
"Cluster_36",2,8,3,11,18,9
"Cluster_37",1,16,1,16,17,9
"Cluster_38",2,3,0,6,22,7
"Cluster_39",252,1514,51,705,1458,781
"Cluster_40",40,320,9,154,331,183
"Cluster_41",2,16,3,11,17,24
"Cluster_42",23,65,17,43,83,100
"Cluster_43",7,13,6,11,18,15
"Cluster_44",431,239,360,256,283,363
"Cluster_45",165,589,71,418,558,544
"Cluster_46",34,34,20,22,14,55
"Cluster_47",36,52,21,69,14,120
"Cluster_48",9,28,9,44,16,50
"Cluster_49",71,135,48,160,82,251
"Cluster_50",52,245,15,136,282,152
"Cluster_51",27,110,2,101,187,113
"Cluster_52",6,55,1,38,115,74
"Cluster_53",252,611,177,723,215,926
"Cluster_54",13,19,6,23,40,18
"Cluster_55",2,10,0,11,19,7
"Cluster_56",33,102,24,77,63,93
"Cluster_57",5,29,2,19,32,20
"Cluster_58",22,56,4,43,69,51
"Cluster_59",32,198,14,144,263,151
"Cluster_60",7,34,4,48,106,49
"Cluster_61",4511,27631,1539,18935,18054,15172
"Cluster_62",10,13,1,23,19,22
"Cluster_63",16,24,8,11,20,22
"Cluster_64",2,7,1,15,7,8
"Cluster_65",19,37,10,59,37,72
"Cluster_66",3,9,0,6,13,8
"Cluster_67",89,254,30,246,365,267
"Cluster_68",98,329,37,279,369,281
"Cluster_69",3,30,8,20,46,36
"Cluster_70",0,17,1,11,25,12
"Cluster_71",2356,6035,637,5966,4626,6965
"Cluster_72",11,74,5,54,135,68
"Cluster_73",3,17,0,14,35,14
"Cluster_74",2,16,3,19,42,26
"Cluster_75",28,92,10,76,87,61
"Cluster_76",21,101,13,70,72,69
"Cluster_77",10,7,12,6,1,15
"Cluster_78",95,372,54,275,467,333
"Cluster_79",2,3,0,6,18,9
"Cluster_80",3,16,0,12,6,11
"Cluster_81",4,5,0,9,6,12
"Cluster_82",6,30,2,9,8,17
"Cluster_83",60,99,11,45,23,60
"Cluster_84",299,1151,132,1433,2380,1543
"Cluster_85",9,4,1,10,4,19
"Cluster_86",6,10,4,8,3,15
"Cluster_87",83,221,55,252,64,300
"Cluster_88",3,18,4,16,14,12
"Cluster_89",13,63,6,40,110,72
"Cluster_90",1066,1594,598,3213,3892,2408
"Cluster_91",114,287,21,224,437,238
"Cluster_92",0,15,0,6,15,11
"Cluster_93",2,5,0,4,13,9
"Cluster_94",5,6,1,16,16,19
"Cluster_95",4,24,1,12,16,16
"Cluster_96",430,1196,161,1491,2531,1273
"Cluster_97",21,82,10,57,97,68
"Cluster_98",0,12,0,9,19,6
"Cluster_99",2,19,0,7,38,16
"Cluster_100",93,651,55,580,1061,610
"Cluster_101",3,9,3,11,9,10
"Cluster_102",4,13,1,10,17,6
"Cluster_103",19,83,11,71,110,59
"Cluster_104",2,13,1,4,14,7
"Cluster_105",48,139,29,187,273,233
"Cluster_106",13,50,12,44,57,77
"Cluster_107",3,7,1,5,13,7
"Cluster_108",24,135,22,96,234,128
"Cluster_109",3,10,5,25,31,25
"Cluster_110",4,7,0,8,8,12
"Cluster_111",2,9,0,5,9,7
"Cluster_112",4,9,2,12,28,9
"Cluster_113",9,31,2,15,94,13
"Cluster_114",40,189,33,192,334,200
"Cluster_115",1,13,0,16,13,6
"Cluster_116",35,151,10,126,234,127
"Cluster_117",12,38,3,41,64,38
"Cluster_118",9,17,2,14,14,16
"Cluster_119",17,123,5,52,74,71
"Cluster_120",11,74,2,29,36,43
"Cluster_121",4258,6233,2416,10487,7447,8415
"Cluster_122",6,15,1,17,47,20
"Cluster_123",26,65,2,73,74,65
"Cluster_124",57,168,12,91,161,113
"Cluster_125",7,29,1,28,52,32
"Cluster_126",3,27,4,25,52,34
